ALQ01,Acoples de 3/4,2,0.21,10
ALQ02,Acoples de 5/8,2,0.21,10
ALQ03,Acoples de 1/2,1,0.11,10
ALQ04,Arandela de 5/8,0.3,0.1,10
ALQ05,Base superior de 2 x 0.90 m,125,2.3,10
ALQ06,Base inferior de 2,125,2.3,10
ALQ07,Base inferior de 1 1/2,125,2.3,10
ALQ08,Base superior de 1 1/2,125,2.3,10
ALQ09,Cruceta de ángulo de 1 x 2.50 m,25,0.55,10
ALQ10,Cruceta de tubo de 1 x 2.20 m,25,0.55,10
ALQ11,Cruceta de ángulo de 1 x 2.74 m,25,0.55,10
ALQ12,Perno de varilla corrugada 1 x 1.50 m,18.75,5.25,10
ALQ13,Perno todo rosca de 5/8 x 1.00 m,5,1.58,10
ALQ14,Perno cónico de 1 1/2 x 1.20 m,125,7.35,10
ALQ15,Placa de 3/8 x 15 cm x 15 cm con agujero de 1,6,1.1,10
ALQ16,Placa de 3/8 x 20 cm x 20 cm con agujero de 1,6,1.1,10
ALQ17,Placa de 5/8 x 20 cm x 20 cm con agujero de 1 3/4 cónico,8.5,1.1,10
ALQ18,Placa de 1/2 x 20 cm x 18 cm con agujero de 1 3/4 cónico,7,1.1,10
ALQ19,Placa de 1/2 x 20 cm x 20 cm con agujero de 1 3/4 cónico,7,1.1,10
ALQ20,Formaleta italiana 50 cm x 1.00 m,40,1.5,10
ALQ21,Tensor señorita m14,7,1.05,10
ALQ22,Tensor señorita m16 1/2,7,1.05,10
ALQ23,Tensor señorita m12 5/8,12,1.05,10
ALQ24,Tensor señorita m16 1 1/2,7,1.05,10
ALQ25,Tensor señorita m12 solo punta,7,1.05,10
ALQ26,Tubo base para andamios de 0.80 m x 1 1/2 tubo zancudo,15,2.1,10
ALQ27,Tubo riostra metálico de 1 1/4 x 6.00 m,8,2.1,10
ALQ28,Tubo riostra metálico de 1 1/4 de 4.00 m,5,1.85,10
ALQ29,Tubo riostra metálico de 1 1/4 de 3.00 m,4,1.05,10
ALQ30,Tubo riostra metálico de 1 1/4 x 3.50 m,4.5,1.85,10
ALQ31,Tubo riostra metálico de 1 1/4 de 1.90 m,3,1.6,10
ALQ32,Tuerca 1,1.33,0.1,10
ALQ33,Tuercas de 5/8,0.2,0.1,10
ALQ34,Union de 1 1/2 20 cm de largo,6,0.3,10
ALQ35,Union estructural de 2 20 cm largo,6,0.3,10
ALQ36,Union estructural de 2 14 cm largo,6,0.3,10
ALQ37,Viga extensible de 3.60 m 8.5 cm x 20 cm,170,3.7,10
ALQ38,Viga extensible de 4.60 m 8.5 cm x 20 cm,170,4.2,10
ALQ39,Marco de andamio de albañilería azul  1.57 m x 1.93 m x 1 1/2,175,3.05,10
ALQ40,Marco de andamio estructural verde 1.52 m x 0.67 m x 2,100,3.45,10
ALQ41,Marco de andamio estructural amarillo 1.27 m 1.82 m x 2,200,3.45,10
ALQ42,Marco de andamio estructural rojo 1.82 m x 1.28 m x 2,175,3.7,10
ALQ43,Marco de andamio estructural verde 1.06 m x 0.67 m x 2,75,3.45,10
ALQ44,Arandela de 1,0.5,0.1,10
ALQ45,Plataforma metálica 0.40 m x 2.20 m,44,4.75,10
ALQ46,Viga H de 3.05 m,42.7,3.45,10
ALQ47,Viga H de 3.60 m,50.4,3.8,10
ALQ48,Viga H de 1.80 m,25.2,3.15,10
ALQ49,Wailer de 4 x 2.00 m,48.34,2.65,10
ALQ50,Wailer de 4 x 6.00 m,145.02,9.5,10
ALQ51,Wailer de 6 x 2.00 m,96,4.2,10
ALQ52,Wailer de 6 x 2.13 m,102.24,4.2,10
ALQ53,Wailer de 6 x 4.00 m,192,7.35,10
ALQ54,Wailer de 6 x 6.00 m,288,10.5,10
ALQ55,Viga H-20 1.90 m,30,3.15,10
ALQ56,Viga H-20 2.90 m,45,3.7,10
ALQ57,Viga H-20 3.90 m,60,5.25,10
ALQ58,Escalerón para andamio,275,4.75,10
ALQ59,Pasamano para andamio de 2.13 m x 1.11 m x 1 1/2,35,2.65,10
ALQ60,Marco de andamio de albañilería 1.55 m x 1.58 m x 1 1/2,90,3.15,10
ALQ61,Wailer de 6 x 3.00 m,144,4.75,10
ALQ62,Wailer de 4 x 3.00 m,72.51,4.75,10
ALQ63,Wailer de 4 x 4.00 m,96.68,6.3,10
ALQ64,Formaleta 0.30 m x 1.22 m,40,3.15,10
ALQ65,Perno todo rosca de 1/2 x 2.00 m,8,0.85,10
ALQ66,Perno todo rosca de 3/4 x 1.00 m,7,1.05,10
ALQ67,Perno todo rosca de 1 x 1.00 m,12.5,2.65,10
ALQ68,Tuercas de 3/4,0.2,0.1,10
ALQ69,Perno de varilla corrugada de 1 x 1.20 m,15,5.25,10
ALQ70,Tuerca 1/2,0.2,0.1,10
ALQ71,Arandela de 3/4,0.5,0.1,10
ALQ72,Acople de 1,2,0.21,10
ALQ73,Viga pilote 3.05 m,60,6.3,10
ALQ74,Wailer de 6 x 5.00 m,240,8.75,10
ALQ75,Wailer de 6 x 4.30 m,206.4,7.35,10
ALQ76,Wailer de 6 x 3.40 m,163.2,7.35,10
ALQ77,Perno de varilla corrugada 1 x 3.10 m,38.75,10.5,10
ALQ78,Perno de varilla corrugada 1 x 4.00 m,50,10.5,10
ALQ79,Pasamano para escalerón,35,2.65,10
ALQ80,Perno de varilla corrugada 1 x 3.80 m,47.5,10.5,10
ALQ81,Wailer de 5 x 4.30 m,171.32,7.35,10
ALQ82,Viga pilote 4.50 m,8,9.25,10
ALQ83,Viga pilote 2.70 m,52,5.5,10
ALQ84,Marco de andamio de albañilería  1.56 m x 2.00 m x x 1 1/2,90,3.15,10
ALQ85,Rodo para andamio de 1 1/2,12,1.3,10
ALQ86,Viga H de 6.00 m,84,6.3,10
ALQ87,Marco de andamio estructural rojo 1.82 m x 1.28 m x 2 diseño diferente,150,3.7,10
ALQ88,Marco de andamio de albañilería de 1.65 m x 1.23 m x 1 1/2,90,3.15,10
ALQ89,Marco de andamio de albañilería de 1.62 m x 1.26 m x 1 1/2,90,3.15,10
ALQ90,Marco de andamio de albañilería de 1.56 m x 1.97 m x x 1 1/2,90,3.15,10
ALQ91,Marco de andamio de albañilería de  1.79 m x 1.56 m x x 1 1/2,90,3.15,10
ALQ92,Viga H de 2.50 m,35,3.15,10
ALQ93,Wailer de 6 x 1.50 m,72,3.15,10
ALQ94,Cruceta de ángulo de 1 x 1.77 m,25,0.55,10
ALQ95,Cruceta de ángulo de 1 x 1.96 m,25,0.55,10
ALQ96,Cruceta de ángulo de 1 x 1.65 m,25,0.55,10
ALQ97,Cruceta de ángulo de 1 x 1.73 m,25,0.55,10
ALQ98,Cruceta de tubo de 1 x 3.50 m,25,0.55,10
